PING 10.5.16.152 (10.5.16.152) 64(92) bytes of data.
72 bytes from 10.5.16.152: icmp_seq=1 ttl=60 time=2.90 ms
72 bytes from 10.5.16.152: icmp_seq=2 ttl=60 time=5.11 ms
72 bytes from 10.5.16.152: icmp_seq=3 ttl=60 time=26.0 ms
72 bytes from 10.5.16.152: icmp_seq=4 ttl=60 time=5.02 ms
72 bytes from 10.5.16.152: icmp_seq=5 ttl=60 time=2.72 ms
72 bytes from 10.5.16.152: icmp_seq=6 ttl=60 time=4.42 ms
72 bytes from 10.5.16.152: icmp_seq=7 ttl=60 time=5.38 ms
72 bytes from 10.5.16.152: icmp_seq=8 ttl=60 time=37.1 ms
72 bytes from 10.5.16.152: icmp_seq=9 ttl=60 time=2.16 ms
72 bytes from 10.5.16.152: icmp_seq=10 ttl=60 time=3.27 ms
72 bytes from 10.5.16.152: icmp_seq=11 ttl=60 time=2.26 ms
72 bytes from 10.5.16.152: icmp_seq=12 ttl=60 time=5.18 ms
72 bytes from 10.5.16.152: icmp_seq=13 ttl=60 time=2.35 ms
72 bytes from 10.5.16.152: icmp_seq=14 ttl=60 time=5.07 ms
72 bytes from 10.5.16.152: icmp_seq=15 ttl=60 time=2.90 ms
72 bytes from 10.5.16.152: icmp_seq=16 ttl=60 time=3.82 ms
72 bytes from 10.5.16.152: icmp_seq=17 ttl=60 time=4.71 ms
72 bytes from 10.5.16.152: icmp_seq=18 ttl=60 time=3.49 ms
72 bytes from 10.5.16.152: icmp_seq=19 ttl=60 time=2.58 ms
72 bytes from 10.5.16.152: icmp_seq=20 ttl=60 time=4.21 ms
72 bytes from 10.5.16.152: icmp_seq=21 ttl=60 time=4.19 ms
72 bytes from 10.5.16.152: icmp_seq=22 ttl=60 time=23.6 ms
72 bytes from 10.5.16.152: icmp_seq=23 ttl=60 time=4.41 ms
72 bytes from 10.5.16.152: icmp_seq=24 ttl=60 time=12.0 ms
72 bytes from 10.5.16.152: icmp_seq=25 ttl=60 time=32.6 ms
72 bytes from 10.5.16.152: icmp_seq=26 ttl=60 time=5.32 ms
72 bytes from 10.5.16.152: icmp_seq=27 ttl=60 time=2.95 ms
72 bytes from 10.5.16.152: icmp_seq=28 ttl=60 time=2.73 ms
72 bytes from 10.5.16.152: icmp_seq=29 ttl=60 time=1.97 ms
72 bytes from 10.5.16.152: icmp_seq=30 ttl=60 time=44.3 ms
72 bytes from 10.5.16.152: icmp_seq=31 ttl=60 time=23.4 ms
72 bytes from 10.5.16.152: icmp_seq=32 ttl=60 time=3.61 ms
72 bytes from 10.5.16.152: icmp_seq=33 ttl=60 time=4.20 ms
72 bytes from 10.5.16.152: icmp_seq=34 ttl=60 time=2.78 ms
72 bytes from 10.5.16.152: icmp_seq=35 ttl=60 time=2.78 ms
72 bytes from 10.5.16.152: icmp_seq=36 ttl=60 time=3.35 ms
72 bytes from 10.5.16.152: icmp_seq=37 ttl=60 time=3.81 ms
72 bytes from 10.5.16.152: icmp_seq=38 ttl=60 time=3.00 ms
72 bytes from 10.5.16.152: icmp_seq=39 ttl=60 time=3.11 ms
72 bytes from 10.5.16.152: icmp_seq=40 ttl=60 time=2.54 ms
72 bytes from 10.5.16.152: icmp_seq=41 ttl=60 time=5.16 ms
72 bytes from 10.5.16.152: icmp_seq=42 ttl=60 time=4.40 ms
72 bytes from 10.5.16.152: icmp_seq=43 ttl=60 time=28.5 ms
72 bytes from 10.5.16.152: icmp_seq=44 ttl=60 time=20.5 ms
72 bytes from 10.5.16.152: icmp_seq=45 ttl=60 time=2.27 ms
72 bytes from 10.5.16.152: icmp_seq=46 ttl=60 time=4.77 ms
72 bytes from 10.5.16.152: icmp_seq=47 ttl=60 time=2.42 ms
72 bytes from 10.5.16.152: icmp_seq=48 ttl=60 time=5.79 ms
72 bytes from 10.5.16.152: icmp_seq=49 ttl=60 time=8.78 ms
72 bytes from 10.5.16.152: icmp_seq=50 ttl=60 time=4.60 ms
72 bytes from 10.5.16.152: icmp_seq=51 ttl=60 time=4.47 ms
72 bytes from 10.5.16.152: icmp_seq=52 ttl=60 time=2.94 ms
72 bytes from 10.5.16.152: icmp_seq=53 ttl=60 time=3.85 ms
72 bytes from 10.5.16.152: icmp_seq=54 ttl=60 time=3.64 ms
72 bytes from 10.5.16.152: icmp_seq=55 ttl=60 time=4.71 ms
72 bytes from 10.5.16.152: icmp_seq=56 ttl=60 time=4.07 ms
72 bytes from 10.5.16.152: icmp_seq=57 ttl=60 time=3.85 ms
72 bytes from 10.5.16.152: icmp_seq=58 ttl=60 time=4.57 ms
72 bytes from 10.5.16.152: icmp_seq=59 ttl=60 time=4.23 ms
72 bytes from 10.5.16.152: icmp_seq=60 ttl=60 time=4.00 ms
72 bytes from 10.5.16.152: icmp_seq=61 ttl=60 time=3.43 ms
72 bytes from 10.5.16.152: icmp_seq=62 ttl=60 time=3.47 ms
72 bytes from 10.5.16.152: icmp_seq=63 ttl=60 time=2.68 ms
72 bytes from 10.5.16.152: icmp_seq=64 ttl=60 time=5.47 ms
72 bytes from 10.5.16.152: icmp_seq=65 ttl=60 time=2.12 ms
72 bytes from 10.5.16.152: icmp_seq=66 ttl=60 time=4.22 ms
72 bytes from 10.5.16.152: icmp_seq=67 ttl=60 time=28.1 ms
72 bytes from 10.5.16.152: icmp_seq=68 ttl=60 time=17.0 ms
